dt,LandAverageTemperature,LandAverageTemperatureUncertainty,LandMaxTemperature,LandMaxTemperatureUncertainty,LandMinTemperature,LandMinTemperatureUncertainty
1909-06-01,12.962,0.232,18.71,0.281,6.766,0.327
1909-07-01,14.06,0.299,19.787,0.366,8.05,0.343
1909-08-01,13.752,0.319,19.625,0.353,7.752999999999999,0.371
1909-09-01,11.879,0.237,17.891000000000005,0.287,5.778,0.354
1909-10-01,9.192,0.178,15.139,0.327,3.221,0.34
1909-11-01,6.236000000000001,0.205,11.959,0.216,0.3229999999999999,0.381
1909-12-01,3.2230000000000003,0.278,8.763,0.423,-2.353,0.326
1910-01-01,2.333,0.24,8.094999999999999,0.565,-3.2700000000000005,0.381
1910-02-01,2.779,0.273,8.388,0.344,-3.2260000000000004,0.489
1910-03-01,4.606,0.213,10.781,0.334,-1.675,0.421
1910-04-01,8.104999999999999,0.252,14.37,0.305,1.704,0.422
1910-05-01,11.005,0.31,17.03,0.327,4.675000000000002,0.514
1910-06-01,13.151,0.232,19.027,0.246,6.871,0.422
1910-07-01,14.279000000000002,0.322,19.952,0.318,8.205,0.385
1910-08-01,13.677,0.321,19.425,0.302,7.605999999999999,0.395
1910-09-01,11.733,0.243,17.623,0.286,5.6690000000000005,0.398
1910-10-01,9.006,0.203,14.905,0.243,2.986,0.377
1910-11-01,5.318,0.223,11.072,0.42,-0.6540000000000001,0.434
1910-12-01,2.684,0.289,8.5,0.273,-2.999,0.459
1911-01-01,1.66,0.33,7.132999999999999,0.4370000000000001,-3.969,0.285
1911-02-01,2.4530000000000003,0.214,8.15,0.575,-3.664,0.318
1911-03-01,4.347,0.199,10.362,0.28,-1.743,0.315
1911-04-01,7.989999999999998,0.248,14.081,0.382,1.856,0.399
1911-05-01,10.829,0.279,16.71,0.369,4.6320000000000014,0.307
1911-06-01,13.009,0.231,19.091,0.231,6.7780000000000005,0.238
1911-07-01,14.082,0.292,19.987,0.335,8.052999999999999,0.327
1911-08-01,13.499,0.329,19.396,0.352,7.606999999999998,0.316
1911-09-01,11.638,0.233,17.491000000000003,0.242,5.723,0.27
1911-10-01,9.263,0.193,14.99,0.249,3.401,0.274
1911-11-01,5.964,0.184,11.652,0.303,0.3089999999999999,0.338
1911-12-01,3.39,0.242,8.811,0.298,-1.981,0.336
1912-01-01,2.402,0.309,7.911,0.253,-3.305,0.329
1912-02-01,3.354,0.251,9.379,0.335,-2.718,0.594
1912-03-01,4.356,0.226,10.725,0.298,-1.981,0.346
1912-04-01,8.229,0.262,14.069,0.271,2.091,0.391
1912-05-01,11.254,0.308,17.389000000000006,0.383,4.992000000000001,0.383
1912-06-01,13.435,0.25,19.351,0.277,7.166,0.37
1912-07-01,13.723,0.293,19.729,0.368,7.915999999999999,0.345
1912-08-01,13.053,0.318,19.027,0.376,7.276999999999999,0.333
1912-09-01,11.222,0.252,17.435000000000002,0.331,5.227,0.265
1912-10-01,8.366999999999999,0.201,14.133,0.395,2.497,0.211
1912-11-01,5.521,0.188,11.185,0.345,-0.2909999999999999,0.287
1912-12-01,3.069,0.243,8.307,0.339,-2.459,0.343
1913-01-01,2.083,0.295,7.6549999999999985,0.442,-3.657,0.4
1913-02-01,2.376,0.295,8.232999999999999,0.328,-3.4850000000000003,0.523
1913-03-01,4.517,0.219,10.4,0.274,-1.597,0.342
1913-04-01,8.023,0.246,14.219,0.355,1.91,0.334
1913-05-01,10.745,0.288,16.815,0.355,4.652,0.357
1913-06-01,13.005,0.266,19.075,0.37,6.667000000000002,0.364
1913-07-01,14.137,0.298,20.256,0.327,7.967,0.355
1913-08-01,13.724,0.325,19.805,0.359,7.7349999999999985,0.37
1913-09-01,11.759,0.237,17.833000000000006,0.332,5.629,0.287
1913-10-01,9.077,0.194,14.904000000000002,0.256,3.091,0.328
1913-11-01,6.024,0.213,11.67,0.305,0.347,0.278
1913-12-01,4.103,0.271,9.556,0.443,-1.4300000000000002,0.288
1914-01-01,3.3760000000000003,0.307,8.822000000000001,0.369,-2.334,0.298
1914-02-01,3.2,0.225,8.501999999999999,0.469,-2.551,0.338
1914-03-01,4.942,0.221,11.039,0.277,-1.31,0.294
1914-04-01,8.097999999999999,0.244,14.050999999999998,0.262,1.888,0.303
1914-05-01,11.284999999999998,0.284,17.199,0.301,5.2330000000000005,0.331
1914-06-01,13.496,0.233,19.335,0.255,7.218999999999999,0.255
1914-07-01,14.298,0.307,20.065,0.309,8.182,0.336
1914-08-01,13.73,0.318,19.692,0.321,7.869999999999999,0.324
1914-09-01,11.915,0.23,17.747000000000003,0.23,5.8660000000000005,0.245
1914-10-01,9.387,0.183,15.271,0.237,3.567,0.26
1914-11-01,5.759,0.195,11.287,0.399,0.2389999999999999,0.329
1914-12-01,3.6,0.276,8.764,0.371,-1.624,0.334
1915-01-01,2.299,0.246,7.901,0.37,-3.4160000000000004,0.332
1915-02-01,3.265,0.261,8.931000000000001,0.419,-2.52,0.375
1915-03-01,5.143,0.209,11.024,0.272,-1.115,0.355
1915-04-01,8.705,0.251,14.607,0.336,2.755,0.324
1915-05-01,11.493,0.286,17.141000000000002,0.325,5.371,0.416
1915-06-01,13.3,0.249,19.189,0.294,7.154,0.292
1915-07-01,14.443,0.295,20.553,0.685,8.455,0.313
1915-08-01,13.77,0.326,19.997,0.5820000000000001,7.757999999999999,0.333
1915-09-01,11.867,0.259,17.811,0.539,6.037999999999999,0.338
1915-10-01,8.984,0.19,14.862,0.302,3.017,0.36
1915-11-01,6.216,0.185,12.159,0.337,0.297,0.33
1915-12-01,3.633,0.197,9.515,0.327,-2.069,0.377
1916-01-01,2.616,0.242,8.309,0.296,-2.927,0.359
1916-02-01,2.957,0.264,8.855,0.289,-3.024,0.371
1916-03-01,4.846,0.307,10.961,0.308,-1.584,0.32
1916-04-01,8.046999999999999,0.257,14.095999999999998,0.272,1.918,0.343
1916-05-01,10.972,0.294,17.084,0.374,4.7940000000000005,0.457
1916-06-01,12.942,0.232,18.91,0.357,6.867000000000001,0.376
1916-07-01,14.052,0.301,20.012,0.327,8.184,0.347
1916-08-01,13.58,0.3229999999999999,19.484,0.355,7.754,0.338
1916-09-01,11.726,0.247,17.634,0.302,5.725,0.306
1916-10-01,9.053,0.218,14.763,0.296,3.156,0.195
1916-11-01,5.596,0.214,11.22,0.305,-0.3109999999999999,0.257
1916-12-01,2.316,0.226,7.837999999999999,0.406,-3.402,0.253
1917-01-01,2.133,0.252,7.847999999999999,0.358,-3.782,0.273
1917-02-01,2.36,0.314,8.334,0.398,-3.771,0.307
1917-03-01,4.488,0.231,10.552,0.227,-1.983,0.272
1917-04-01,7.854999999999999,0.272,13.932,0.235,1.689,0.317
1917-05-01,10.443,0.294,16.421000000000006,0.341,4.3050000000000015,0.373
1917-06-01,12.915,0.243,18.889,0.303,6.792000000000002,0.325
1917-07-01,14.259,0.296,20.083,0.374,8.377,0.344
1917-08-01,13.470999999999998,0.319,19.568,0.507,7.544999999999999,0.349
1917-09-01,11.745,0.242,17.669,0.283,5.796,0.312
1917-10-01,8.544,0.173,14.425999999999998,0.279,2.64,0.301
1917-11-01,5.82,0.226,11.686,0.253,0.057,0.266
1917-12-01,2.247,0.266,7.702999999999999,0.276,-3.43,0.326
1918-01-01,1.934,0.251,7.552,0.261,-3.802000000000001,0.371
1918-02-01,2.455,0.342,8.256,0.314,-3.568,0.344
1918-03-01,4.811,0.257,10.704,0.197,-1.267,0.31
1918-04-01,7.643999999999999,0.258,13.706,0.255,1.426,0.38
1918-05-01,10.54,0.304,16.48,0.332,4.386,0.359
1918-06-01,12.908,0.242,18.731,0.335,6.772,0.407
1918-07-01,14.002,0.301,19.916,0.3670000000000001,7.896,0.384
1918-08-01,13.431,0.329,19.326,0.334,7.491999999999999,0.378
1918-09-01,11.880999999999998,0.256,17.999000000000006,0.243,5.8,0.29
1918-10-01,9.433,0.209,15.332,0.243,3.5780000000000003,0.499
1918-11-01,5.683,0.225,11.265,0.2,0.142,0.353
1918-12-01,2.8480000000000003,0.245,8.266,0.356,-2.627,0.377
1919-01-01,2.184,0.252,7.648999999999999,0.381,-3.3960000000000004,0.453
1919-02-01,2.852,0.285,8.626999999999999,0.43,-2.9960000000000004,0.452
1919-03-01,4.743,0.27,10.714,0.285,-1.5470000000000002,0.352
1919-04-01,8.487,0.292,14.412,0.349,2.441,0.385
1919-05-01,10.969,0.286,16.701,0.376,4.881,0.375
1919-06-01,13.228,0.241,19.017,0.429,7.102,0.34
1919-07-01,14.274,0.299,20.146,0.44,8.264,0.414
1919-08-01,13.786,0.335,19.804,0.3670000000000001,7.842,0.333
1919-09-01,11.989999999999998,0.25,17.887,0.346,6.126,0.26
1919-10-01,9.361,0.216,15.005,0.205,3.522,0.237
1919-11-01,5.489,0.23,11.158,0.184,-0.4310000000000001,0.205
1919-12-01,3.224,0.245,8.756,0.303,-2.395,0.266
1920-01-01,2.841,0.25,8.443999999999999,0.435,-2.942,0.328
1920-02-01,2.755,0.268,8.266,0.503,-3.109,0.289
1920-03-01,5.227,0.231,11.034,0.3,-0.782,0.292
1920-04-01,8.293,0.272,14.140999999999998,0.298,2.164,0.419
1920-05-01,11.130999999999998,0.31,17.145,0.474,5.126,0.352
1920-06-01,13.105,0.245,18.9,0.335,7.057,0.297
1920-07-01,14.245,0.305,20.121,0.477,8.299,0.358
1920-08-01,13.698,0.343,19.647,0.305,7.7719999999999985,0.345
1920-09-01,11.794,0.258,17.810000000000006,0.257,5.85,0.297
1920-10-01,9.021,0.212,14.852,0.302,3.1,0.267
1920-11-01,5.566,0.229,11.127,0.243,-0.123,0.278
1920-12-01,2.629,0.229,8.225,0.31,-3.063,0.402
1921-01-01,2.98,0.32,8.737,0.317,-2.709,0.345
1921-02-01,3.125,0.236,9.17,0.409,-2.8160000000000003,0.278
1921-03-01,5.081,0.276,10.928,0.36,-0.931,0.322
1921-04-01,8.324,0.262,14.327,0.247,2.252,0.34
1921-05-01,11.245,0.282,17.255000000000006,0.306,5.152,0.389
1921-06-01,13.44,0.239,19.36,0.299,7.383999999999999,0.366
1921-07-01,14.436,0.302,20.42,0.296,8.424,0.388
1921-08-01,13.561,0.326,19.468,0.311,7.600999999999999,0.368
1921-09-01,11.869000000000002,0.24,17.785,0.221,5.996,0.235
1921-10-01,9.264,0.188,15.124,0.248,3.446,0.244
1921-11-01,5.864,0.198,11.362,0.22,0.2,0.236
1921-12-01,3.663,0.213,9.157,0.243,-1.874,0.273
1922-01-01,2.15,0.214,7.603,0.524,-3.428,0.389
1922-02-01,2.376,0.271,8.234,0.529,-3.684,0.434
1922-03-01,5.156000000000001,0.223,11.248,0.282,-1.1880000000000002,0.261
1922-04-01,8.379999999999999,0.276,14.521,0.23,2.156,0.324
1922-05-01,11.097,0.285,16.912000000000006,0.369,4.9830000000000005,0.357
1922-06-01,13.331,0.241,19.153,0.299,7.266,0.236
1922-07-01,14.278,0.306,20.098,0.305,8.241,0.352
1922-08-01,13.584,0.333,19.475,0.315,7.598999999999998,0.303
1922-09-01,11.775,0.255,17.660999999999998,0.232,5.754,0.265
1922-10-01,9.056,0.219,14.975,0.202,3.134,0.27
1922-11-01,6.046,0.246,11.615,0.26,0.232,0.278
1922-12-01,3.667,0.234,8.968,0.241,-1.865,0.29
1923-01-01,2.487,0.276,8.209999999999999,0.259,-3.1950000000000003,0.349
1923-02-01,2.563,0.262,8.298,0.318,-3.172,0.263
1923-03-01,4.8660000000000005,0.226,10.786,0.194,-1.256,0.252
1923-04-01,7.749,0.24,13.64,0.283,1.602,0.311
1923-05-01,10.848999999999998,0.292,16.825000000000006,0.346,4.790000000000001,0.385
1923-06-01,13.296,0.259,19.056,0.231,7.138999999999999,0.277
1923-07-01,13.984000000000002,0.3,19.81,0.3229999999999999,8.012,0.343
1923-08-01,13.611,0.34,19.445,0.333,7.645,0.3
1923-09-01,11.883,0.256,17.783,0.291,5.816,0.231
1923-10-01,9.52,0.191,15.188,0.341,3.523,0.225
1923-11-01,6.377999999999999,0.179,11.871,0.22,0.474,0.232
1923-12-01,3.88,0.216,9.269,0.278,-1.903,0.31
1924-01-01,2.339,0.29,7.911999999999999,0.298,-3.502,0.377
1924-02-01,2.888,0.288,8.609,0.469,-3.0250000000000004,0.383
1924-03-01,5.352,0.208,11.239999999999998,0.183,-0.8059999999999999,0.262
1924-04-01,7.97,0.267,13.857,0.274,1.722,0.299
1924-05-01,11.188,0.298,17.185000000000002,0.31,4.905,0.325
1924-06-01,13.342,0.241,19.195,0.284,7.085000000000001,0.244
1924-07-01,14.304,0.307,20.057,0.322,8.161,0.326
1924-08-01,13.654000000000002,0.326,19.519,0.312,7.584999999999999,0.338
1924-09-01,11.957,0.232,17.783,0.219,6.024,0.252
1924-10-01,9.203,0.182,14.896,0.243,3.29,0.223
1924-11-01,6.4,0.2,11.794,0.191,0.6559999999999999,0.193
1924-12-01,3.485,0.243,8.639,0.246,-2.021,0.309
1925-01-01,2.268,0.228,7.483999999999999,0.289,-3.1790000000000003,0.283
1925-02-01,2.701,0.236,8.51,0.254,-3.314,0.335
1925-03-01,5.126,0.224,11.133,0.206,-1.14,0.247
1925-04-01,8.442,0.244,14.538,0.272,2.178,0.315
1925-05-01,11.039,0.286,17.032,0.324,4.828,0.31
1925-06-01,13.089,0.22,19.041,0.283,6.882999999999999,0.276
1925-07-01,14.066,0.3,19.971,0.279,8.047,0.306
1925-08-01,13.769,0.32,19.737,0.289,7.723999999999998,0.3670000000000001
1925-09-01,11.979,0.235,17.874000000000006,0.244,6.007999999999999,0.222
1925-10-01,9.196,0.193,14.889,0.188,3.287,0.253
1925-11-01,6.34,0.196,11.912,0.193,0.6459999999999999,0.268
1925-12-01,4.398,0.207,10.011,0.244,-1.4700000000000002,0.305
1926-01-01,3.4530000000000003,0.258,8.785,0.277,-2.2220000000000004,0.233
1926-02-01,3.717,0.211,9.503,0.249,-2.307,0.31
1926-03-01,5.831,0.178,11.593,0.198,-0.234,0.258
1926-04-01,8.193,0.259,14.095,0.298,2.006,0.299
1926-05-01,10.931,0.295,16.688000000000002,0.301,4.806,0.335
1926-06-01,13.285,0.231,19.214,0.229,7.0790000000000015,0.261
1926-07-01,14.168,0.287,19.998,0.297,8.058,0.332
1926-08-01,13.877,0.321,19.695,0.304,7.915999999999999,0.345
1926-09-01,12.075,0.242,17.816000000000006,0.231,6.15,0.255
1926-10-01,9.55,0.2,15.474,0.193,3.6010000000000004,0.241
1926-11-01,6.3,0.208,11.936,0.245,0.618,0.248
1926-12-01,3.366,0.222,8.629999999999999,0.25,-2.248,0.264
1927-01-01,2.372,0.268,7.935,0.229,-3.5120000000000005,0.251
1927-02-01,3.039,0.244,8.67,0.25,-2.866,0.315
1927-03-01,4.668,0.223,10.565,0.232,-1.495,0.31
1927-04-01,8.035,0.239,14.007,0.256,1.852,0.368
1927-05-01,11.104,0.297,16.998,0.28,4.873,0.32
1927-06-01,13.271999999999998,0.23,19.136,0.245,7.106,0.265
1927-07-01,14.323,0.302,20.237,0.262,8.283999999999999,0.33
1927-08-01,13.698,0.34,19.529,0.3,7.696999999999999,0.314
1927-09-01,12.254,0.24,18.109,0.206,6.26,0.251
1927-10-01,9.887,0.2,15.627,0.205,4.02,0.268
1927-11-01,6.346,0.192,12.072,0.219,0.596,0.268
1927-12-01,3.267,0.212,8.689,0.301,-2.3920000000000003,0.283
1928-01-01,3.0460000000000003,0.211,8.290999999999999,0.228,-2.631,0.291
1928-02-01,3.333,0.241,9.04,0.317,-2.609,0.296
1928-03-01,4.959,0.191,10.892,0.23,-1.247,0.296
1928-04-01,8.244,0.276,14.193,0.219,2.046,0.304
1928-05-01,11.169,0.321,17.060000000000002,0.274,4.981000000000001,0.335
1928-06-01,13.113,0.238,18.856,0.254,7.045,0.265
1928-07-01,14.31,0.297,20.005,0.297,8.189,0.298
1928-08-01,13.687,0.327,19.522,0.305,7.797999999999999,0.319
1928-09-01,12.03,0.235,17.980999999999998,0.223,6.02,0.237
1928-10-01,9.486,0.193,15.387,0.19,3.549,0.214
1928-11-01,6.336,0.231,11.933,0.177,0.629,0.241
1928-12-01,3.873,0.222,9.186,0.26,-1.751,0.257
1929-01-01,2.0540000000000003,0.289,7.479999999999999,0.298,-3.66,0.272
1929-02-01,2.172,0.229,7.837999999999999,0.219,-3.883,0.274
1929-03-01,5.099,0.191,10.982,0.229,-1.131,0.289
1929-04-01,8.094,0.265,14.08,0.292,1.842,0.281
1929-05-01,10.915,0.294,16.906000000000002,0.258,4.784000000000002,0.334
1929-06-01,12.928,0.232,18.65,0.26,6.908,0.291
1929-07-01,13.957,0.314,19.652,0.314,8.012,0.318
1929-08-01,13.68,0.33,19.548,0.301,7.696999999999999,0.328
1929-09-01,11.807,0.255,17.598000000000006,0.199,5.926,0.238
1929-10-01,9.46,0.195,15.217,0.182,3.686,0.226
1929-11-01,6.172000000000001,0.207,11.757,0.175,0.377,0.213
1929-12-01,2.571,0.22,7.769,0.222,-2.9450000000000003,0.242
1930-01-01,2.401,0.226,7.669999999999999,0.216,-3.169,0.343
1930-02-01,3.152,0.236,8.9,0.252,-2.8520000000000003,0.252
1930-03-01,5.483,0.191,11.539,0.273,-0.5710000000000001,0.209
1930-04-01,8.181999999999999,0.242,14.017,0.254,2.072,0.271
1930-05-01,11.105,0.292,16.87,0.272,5.016,0.314
1930-06-01,13.347,0.231,19.071,0.264,7.295,0.309
1930-07-01,14.465,0.301,20.252,0.267,8.415,0.287
1930-08-01,13.928,0.327,19.803,0.291,7.995999999999999,0.304
1930-09-01,11.874,0.247,17.754,0.204,5.935,0.237
1930-10-01,9.261,0.187,14.941,0.205,3.587,0.25
1930-11-01,6.574,0.202,12.032,0.186,0.8919999999999999,0.213
1930-12-01,3.831,0.194,9.066,0.239,-1.736,0.243
1931-01-01,2.761,0.225,8.059,0.339,-2.897,0.252
1931-02-01,2.708,0.224,8.218,0.233,-3.123,0.245
1931-03-01,5.22,0.186,11.194,0.148,-1.006,0.244
1931-04-01,8.163,0.234,14.079,0.228,2.025,0.29
1931-05-01,11.02,0.281,16.805,0.266,4.9510000000000005,0.327
1931-06-01,13.573,0.24,19.419,0.222,7.489000000000001,0.256
1931-07-01,14.576,0.302,20.399,0.275,8.665,0.328
1931-08-01,14.12,0.33,19.961,0.289,8.189,0.331
1931-09-01,12.283,0.25,18.078000000000007,0.203,6.485,0.241
1931-10-01,9.937,0.197,15.718,0.1669999999999999,4.073,0.245
1931-11-01,6.242999999999999,0.198,11.63,0.189,0.5449999999999999,0.267
1931-12-01,4.027,0.186,9.477,0.183,-1.5730000000000002,0.26
1932-01-01,3.604,0.223,9.159,0.254,-2.0540000000000003,0.284
1932-02-01,2.989,0.221,8.797,0.216,-3.2300000000000004,0.206
1932-03-01,4.94,0.204,10.934,0.1689999999999999,-1.164,0.237
1932-04-01,8.769,0.263,14.644,0.223,2.599,0.271
1932-05-01,11.239,0.3,16.865000000000002,0.253,5.2250000000000005,0.338
1932-06-01,13.383,0.257,19.114,0.219,7.257999999999999,0.251
1932-07-01,14.372,0.306,20.093,0.286,8.416,0.339
1932-08-01,13.74,0.331,19.5,0.277,7.916999999999999,0.331
1932-09-01,12.31,0.268,18.216,0.213,6.34,0.226
1932-10-01,9.682,0.232,15.424,0.16,3.9,0.243
1932-11-01,5.908,0.186,11.550999999999998,0.204,0.014,0.278
1932-12-01,3.527,0.196,8.888,0.215,-2.071,0.271
1933-01-01,2.169,0.226,7.379,0.207,-3.4530000000000003,0.277
1933-02-01,2.657,0.21,8.350999999999999,0.305,-3.318,0.299
1933-03-01,4.869,0.185,10.774,0.192,-1.27,0.307
1933-04-01,8.125,0.272,14.046,0.263,2.003,0.286
1933-05-01,11.047,0.288,16.845000000000002,0.267,4.988,0.297
1933-06-01,13.11,0.241,19.036,0.25,7.001,0.313
